Item #,Product,Link,Qty,Total Price (USD),Notes
1,Flexible Helmet LED Eyes,https://amoz.onl/55l,1,13.98,Business Account
2,DFROBOT Gravity Voice Recognition Module,https://www.amazon.com/gp/product/B0C5XG3BXW?smid=A2EH5PO307BR7O&psc=1,1,16.4,
3,MG90S Servos,,2,6.14,
4,M to F Dupont Cables,,1,2.96,
5,"KW12-3 250V 5A Limit Switch (With NO, NC, Common)",,1,2.91,
6,10mm x 2mm Magnets,,1,0.0,
7,Sand Paper (Assorted),,1,0.33,
8,M3 Screws (Assorted),,1,5.39,
9,Arduino Nano,,1,0.99,
10,3D Printed Helmet + Utility,,1,,Price TBD
11,Spray Paint + Primer,https://docs.google.com/document/d/1boXkLBG06-nQ8r04DcoNFZOWzf_QpciWl75cyl6Dty0/edit?usp=sharing,3,23.32,
12,Hot Glue Gun,,1,4.33,
13,Wire Stripper + Red Paint,,1 ea,0.3,Total for both items
14,Tax/Fees,,1,4.78,
